,Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
3171,YM24654,Washington,17966.28765,No,Basic,High School or Below,2/23/11,Unemployed,F,0,Suburban,Single,70,15,44,0,2,Personal Auto,Personal L3,Offer2,Agent,504.0,Four-Door Car,Medsize
2468,PP50567,California,8377.499751,No,Basic,Bachelor,5/1/2011,Unemployed,M,0,Suburban,Married,74,14,38,0,2,Corporate Auto,Corporate L3,Offer1,Agent,355.2,Four-Door Car,Medsize
3314,DQ71306,Oregon,3649.658983,No,Extended,High School or Below,2/2/2011,Medical Leave,M,19013,Suburban,Married,95,1,58,0,1,Corporate Auto,Corporate L1,Offer3,Call Center,456.0,Four-Door Car,Medsize
5392,WF53890,Arizona,5217.513287,Yes,Basic,Bachelor,2/17/11,Employed,F,39854,Urban,Divorced,66,6,4,0,7,Personal Auto,Personal L2,Offer2,Web,261.930545,Two-Door Car,Medsize
930,VY19543,California,8311.1359,No,Basic,Bachelor,1/26/11,Unemployed,F,0,Urban,Married,72,22,79,0,2,Corporate Auto,Corporate L2,Offer2,Agent,311.329282,Four-Door Car,Medsize
8046,MY56715,Oregon,3380.712383,No,Extended,Bachelor,2/27/11,Employed,M,58109,Suburban,Divorced,86,9,6,0,1,Corporate Auto,Corporate L3,Offer2,Branch,412.8,Two-Door Car,Medsize
511,CF57022,Oregon,10442.65139,No,Extended,Bachelor,1/26/11,Medical Leave,M,17269,Suburban,Married,139,3,31,0,5,Personal Auto,Personal L1,Offer1,Branch,667.2,SUV,Small
6294,QG61936,California,4516.811394,No,Extended,Master,2/1/2011,Unemployed,M,0,Suburban,Married,124,29,9,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,595.2,SUV,Medsize
3027,TC81636,Arizona,10196.1106,No,Basic,High School or Below,7/1/2011,Unemployed,M,0,Suburban,Single,100,9,75,0,2,Corporate Auto,Corporate L3,Offer4,Web,720.0,SUV,Medsize
3763,VI12468,Oregon,35013.54166,No,Extended,Bachelor,2/24/11,Unemployed,F,0,Urban,Married,133,1,85,0,2,Personal Auto,Personal L2,Offer2,Branch,532.747291,SUV,Medsize
6269,PB16956,Oregon,7842.377593,No,Extended,College,2/28/11,Employed,F,51001,Urban,Married,99,13,49,1,3,Personal Auto,Personal L1,Offer1,Agent,291.890464,Four-Door Car,Medsize
4853,QA78691,Nevada,16388.09542,No,Basic,Bachelor,1/13/11,Unemployed,F,0,Suburban,Single,68,5,4,1,2,Personal Auto,Personal L2,Offer2,Call Center,483.578159,Four-Door Car,Large
3212,IS75141,Oregon,5645.513529,No,Basic,High School or Below,9/1/2011,Employed,F,44162,Rural,Married,71,27,16,0,7,Personal Auto,Personal L3,Offer2,Agent,160.825045,Two-Door Car,Medsize
1969,EW82164,California,4167.419574,No,Basic,Bachelor,3/2/2011,Employed,F,56901,Suburban,Married,104,29,82,0,1,Personal Auto,Personal L2,Offer1,Agent,499.2,SUV,Small
5668,LE12086,Oregon,5737.499595,No,Basic,College,1/20/11,Employed,F,68946,Urban,Married,71,15,31,0,8,Personal Auto,Personal L1,Offer1,Call Center,309.627788,Four-Door Car,Medsize
2626,RO89785,Oregon,3508.569533,Yes,Extended,College,5/1/2011,Medical Leave,M,20978,Suburban,Married,98,19,96,1,1,Personal Auto,Personal L3,Offer2,Branch,1176.2788,Four-Door Car,Small
4847,GO44613,Nevada,24061.11048,No,Basic,High School or Below,1/23/11,Medical Leave,F,19168,Suburban,Married,106,12,54,1,2,Personal Auto,Personal L1,Offer1,Branch,508.8,SUV,Medsize
6967,OD89873,Arizona,8044.872393,Yes,Basic,Bachelor,2/19/11,Employed,M,71391,Urban,Married,67,29,39,0,2,Corporate Auto,Corporate L1,Offer2,Agent,284.000172,Four-Door Car,Medsize
4190,GT89774,Arizona,17109.39447,No,Extended,Bachelor,1/13/11,Employed,F,87139,Rural,Married,213,18,27,0,3,Personal Auto,Personal L3,Offer4,Agent,363.865389,Luxury SUV,Medsize
9072,KE98143,California,2700.676449,No,Basic,Master,2/23/11,Employed,F,89362,Rural,Single,67,8,72,0,1,Personal Auto,Personal L2,Offer4,Branch,116.209568,Four-Door Car,Medsize
1999,KC67431,California,10517.15638,No,Extended,College,1/18/11,Employed,F,46707,Rural,Married,133,7,9,0,8,Personal Auto,Personal L2,Offer3,Branch,80.70505,Sports Car,Medsize
999,ZV32120,California,3971.345097,No,Basic,Doctor,2/26/11,Employed,M,23599,Suburban,Single,103,20,46,0,1,Corporate Auto,Corporate L3,Offer2,Agent,494.4,SUV,Medsize
8347,VM50666,California,9718.463569,No,Basic,Doctor,11/1/2011,Unemployed,M,0,Suburban,Divorced,65,12,46,0,2,Special Auto,Special L3,Offer1,Branch,312.0,Four-Door Car,Large
2695,XX89213,Nevada,8712.157741,No,Extended,Master,1/21/11,Employed,F,68516,Rural,Married,216,17,0,0,1,Corporate Auto,Corporate L2,Offer2,Branch,95.693949,Luxury SUV,Medsize
4307,XN18885,Oregon,7285.030983,Yes,Basic,High School or Below,2/28/11,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L2,Offer2,Agent,386.031248,Four-Door Car,Small
2619,XK84089,California,2619.337376,Yes,Basic,Bachelor,5/2/2011,Employed,M,78618,Urban,Divorced,66,7,56,0,1,Personal Auto,Personal L3,Offer1,Agent,225.578841,Two-Door Car,Medsize
7690,ZP26168,Washington,9688.129179,No,Basic,College,1/2/2011,Medical Leave,F,24584,Urban,Single,66,11,74,0,2,Corporate Auto,Corporate L3,Offer1,Agent,279.706613,Four-Door Car,Medsize
4293,EW34780,California,11315.20373,Yes,Premium,Bachelor,2/16/11,Disabled,F,11885,Suburban,Divorced,101,18,39,0,2,Personal Auto,Personal L3,Offer1,Agent,484.8,Four-Door Car,Medsize
6746,PK24825,Oregon,3293.245706,No,Extended,College,2/15/11,Unemployed,F,0,Suburban,Single,94,3,40,0,1,Corporate Auto,Corporate L1,Offer3,Call Center,676.8,Four-Door Car,Large
6723,YN15967,California,7409.083969,No,Extended,College,11/1/2011,Employed,M,61160,Urban,Single,96,2,71,0,3,Corporate Auto,Corporate L2,Offer1,Branch,354.530239,Two-Door Car,Small
477,IU96845,Arizona,6285.476868,No,Extended,College,10/2/2011,Employed,M,32390,Rural,Married,80,20,36,0,8,Personal Auto,Personal L3,Offer1,Call Center,91.417923,Four-Door Car,Medsize
1935,PT93474,Oregon,11513.16291,No,Basic,Bachelor,4/2/2011,Unemployed,F,0,Suburban,Divorced,64,26,72,0,2,Personal Auto,Personal L3,Offer1,Web,307.2,Four-Door Car,Medsize
7802,MN74944,Arizona,6285.15476,No,Extended,College,2/28/11,Employed,M,52210,Suburban,Married,80,6,74,0,9,Personal Auto,Personal L1,Offer1,Branch,384.0,Four-Door Car,Medsize
8974,LI81655,California,6638.122296,No,Premium,Master,2/26/11,Employed,M,21586,Suburban,Married,167,31,44,1,1,Personal Auto,Personal L2,Offer4,Agent,801.6,Sports Car,Medsize
5292,UV52613,Arizona,2722.986709,No,Basic,College,3/2/2011,Disabled,M,20867,Suburban,Married,71,0,79,0,1,Personal Auto,Personal L3,Offer4,Agent,340.8,Four-Door Car,Medsize
8056,IA30254,Nevada,14837.50253,No,Basic,High School or Below,4/2/2011,Unemployed,M,0,Suburban,Single,70,18,46,0,2,Corporate Auto,Corporate L1,Offer1,Agent,712.619939,Four-Door Car,Medsize
5723,PF53601,Oregon,28432.00202,No,Basic,Bachelor,9/1/2011,Medical Leave,M,17130,Suburban,Divorced,198,1,58,0,2,Special Auto,Special L3,Offer1,Agent,950.4,Luxury SUV,Medsize
5649,FP39090,Oregon,24127.50402,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Special Auto,Special L2,Offer1,Agent,511.2,Four-Door Car,Medsize
8800,RJ62038,California,8166.512251,No,Extended,High School or Below,2/26/11,Unemployed,M,0,Suburban,Single,82,34,5,0,2,Personal Auto,Personal L1,Offer2,Web,590.4,Four-Door Car,Small
3085,IN52645,Oregon,7344.836277,No,Premium,High School or Below,1/2/2011,Employed,F,64371,Suburban,Married,181,4,50,0,1,Personal Auto,Personal L3,Offer2,Web,868.8,SUV,Small
8597,HB12866,California,7449.855125,No,Extended,High School or Below,2/26/11,Unemployed,F,0,Suburban,Single,206,7,82,0,1,Personal Auto,Personal L2,Offer2,Agent,1483.2,Luxury SUV,Large
2257,SI31035,Arizona,5368.887709,No,Basic,Doctor,3/1/2011,Employed,M,59601,Suburban,Married,67,28,2,0,6,Personal Auto,Personal L3,Offer4,Branch,321.6,Four-Door Car,Medsize
2954,SX25962,Arizona,15055.53836,No,Basic,College,2/18/11,Employed,M,83283,Rural,Single,193,11,46,1,3,Personal Auto,Personal L2,Offer3,Branch,273.702709,Luxury Car,Medsize
8941,BV27017,California,17602.51146,No,Premium,College,6/2/2011,Unemployed,F,0,Suburban,Divorced,161,1,68,1,2,Corporate Auto,Corporate L1,Offer1,Agent,772.8,SUV,Medsize
7123,FO13691,Oregon,5124.218174,No,Basic,Doctor,1/30/11,Employed,M,73740,Urban,Divorced,64,23,3,0,3,Personal Auto,Personal L3,Offer1,Agent,229.272206,Two-Door Car,Medsize
6012,ZU88796,Arizona,2448.811216,No,Basic,Bachelor,1/21/11,Employed,F,87802,Urban,Married,63,2,43,5,1,Personal Auto,Personal L2,Offer2,Agent,173.899238,Four-Door Car,Small
118,SK55033,California,2469.781334,No,Basic,Bachelor,1/15/11,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal Auto,Personal L2,Offer3,Agent,368.400146,Two-Door Car,Medsize
2771,XT54610,California,1904.000852,No,Basic,Bachelor,1/14/11,Unemployed,F,0,Suburban,Single,63,22,7,3,1,Personal Auto,Personal L1,Offer1,Agent,302.4,Four-Door Car,Medsize
8250,BE69929,Arizona,4820.704584,No,Basic,College,1/2/2011,Employed,F,27872,Urban,Married,61,19,78,0,3,Personal Auto,Personal L3,Offer2,Branch,186.857059,Two-Door Car,Medsize
4543,GT65478,Oregon,8217.427595,No,Basic,College,1/19/11,Employed,F,84815,Urban,Married,68,9,37,0,2,Personal Auto,Personal L1,Offer1,Agent,279.996658,Four-Door Car,Medsize
2918,KC75958,California,16468.22079,Yes,Basic,High School or Below,1/27/11,Unemployed,F,0,Suburban,Divorced,63,4,52,0,2,Personal Auto,Personal L1,Offer2,Agent,685.12694,Four-Door Car,Medsize
8758,QW72605,California,10296.9965,No,Extended,Bachelor,1/27/11,Unemployed,F,0,Suburban,Single,138,11,84,0,9,Personal Auto,Personal L2,Offer2,Call Center,666.977979,SUV,Large
8333,XZ62430,Arizona,6057.07208,Yes,Extended,Bachelor,2/14/11,Retired,M,27681,Suburban,Married,83,13,62,0,9,Personal Auto,Personal L3,Offer2,Agent,398.4,Two-Door Car,Medsize
3615,AP66226,Nevada,4479.494223,No,Basic,Bachelor,10/2/2011,Medical Leave,M,18505,Suburban,Married,66,15,51,4,3,Personal Auto,Personal L3,Offer1,Web,316.8,Four-Door Car,Medsize
4409,GX13549,California,4974.235309,No,Basic,High School or Below,3/2/2011,Unemployed,F,0,Suburban,Single,70,18,74,0,3,Personal Auto,Personal L1,Offer1,Call Center,336.0,Four-Door Car,Medsize
7928,TV97612,Oregon,8105.996039,No,Basic,Bachelor,2/24/11,Medical Leave,M,20815,Suburban,Married,110,7,35,0,9,Personal Auto,Personal L3,Offer1,Agent,528.0,SUV,Medsize
5538,DD28380,Arizona,13118.74322,No,Premium,College,9/2/2011,Medical Leave,F,11854,Suburban,Married,113,19,64,0,2,Personal Auto,Personal L1,Offer1,Call Center,807.721213,Four-Door Car,Medsize
6255,CA22248,Oregon,2505.42043,No,Basic,Master,2/14/11,Employed,F,60546,Rural,Single,63,21,71,0,1,Personal Auto,Personal L3,Offer2,Branch,46.278027,Four-Door Car,Medsize
5050,YH20696,Oregon,8657.968597,No,Basic,College,1/17/11,Employed,M,68727,Rural,Married,72,15,49,0,2,Personal Auto,Personal L1,Offer1,Branch,171.475838,Four-Door Car,Medsize
6281,TB77524,Arizona,8048.371634,No,Basic,College,1/20/11,Unemployed,F,0,Suburban,Single,116,24,90,0,9,Personal Auto,Personal L3,Offer2,Branch,1339.303486,SUV,Medsize
1148,SG32258,Arizona,2416.542359,No,Basic,College,6/2/2011,Medical Leave,F,18944,Rural,Married,63,20,64,0,1,Personal Auto,Personal L3,Offer4,Call Center,125.274351,Four-Door Car,Medsize
8379,UR56056,Oregon,10881.77039,No,Extended,Bachelor,6/2/2011,Employed,M,73268,Rural,Married,137,30,35,0,3,Personal Auto,Personal L3,Offer3,Agent,41.139806,SUV,Medsize
5021,GO94903,Oregon,4770.550911,Yes,Basic,College,1/2/2011,Medical Leave,F,12964,Suburban,Single,65,2,37,0,4,Personal Auto,Personal L3,Offer1,Web,362.774545,Two-Door Car,Medsize
1379,CU13711,Oregon,10864.27491,No,Basic,Doctor,9/2/2011,Employed,F,95579,Urban,Single,67,19,78,0,2,Personal Auto,Personal L1,Offer1,Agent,308.631159,Four-Door Car,Medsize
5325,LP59331,Arizona,5282.543094,No,Basic,College,2/26/11,Employed,M,38606,Suburban,Single,68,16,99,0,3,Personal Auto,Personal L3,Offer1,Branch,413.288851,Four-Door Car,Medsize
1347,RR68322,Nevada,3482.687007,No,Extended,High School or Below,3/1/2011,Employed,M,65162,Rural,Married,86,11,59,0,1,Personal Auto,Personal L3,Offer2,Call Center,134.430084,Four-Door Car,Medsize
2596,DS34823,Arizona,4250.282624,Yes,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Single,61,17,1,1,7,Personal Auto,Personal L2,Offer1,Agent,292.8,Four-Door Car,Small
5669,IO89174,Oregon,7688.023506,No,Basic,Bachelor,9/2/2011,Employed,F,56680,Suburban,Single,100,9,78,2,3,Personal Auto,Personal L3,Offer1,Branch,480.0,SUV,Medsize
2406,HN63935,Arizona,3433.82408,No,Extended,Master,8/2/2011,Employed,M,85367,Rural,Married,85,27,20,0,1,Personal Auto,Personal L2,Offer4,Agent,67.975243,Four-Door Car,Large
1950,ST52914,Arizona,6042.9119,No,Extended,College,5/2/2011,Employed,M,25899,Suburban,Divorced,79,10,11,0,8,Personal Auto,Personal L3,Offer4,Branch,568.8,Two-Door Car,Medsize
6947,ZX80668,Nevada,13448.80973,No,Basic,Bachelor,10/1/2011,Employed,M,43720,Suburban,Single,117,5,90,1,2,Personal Auto,Personal L3,Offer1,Branch,561.6,SUV,Medsize
3083,QN30162,Oregon,11315.20373,Yes,Premium,Bachelor,2/16/11,Disabled,F,11885,Suburban,Divorced,101,18,39,0,2,Special Auto,Special L2,Offer1,Agent,484.8,Four-Door Car,Medsize
462,JK32620,Nevada,2224.768,No,Basic,College,1/22/11,Unemployed,M,0,Suburban,Single,68,3,4,0,1,Personal Auto,Personal L3,Offer2,Web,326.4,Four-Door Car,Medsize
2999,TW45475,Nevada,8556.418397,No,Extended,College,9/1/2011,Unemployed,M,0,Suburban,Married,124,7,2,3,6,Personal Auto,Personal L3,Offer1,Branch,595.2,SUV,Small
3291,IK12576,Oregon,4233.56878,No,Premium,Bachelor,2/13/11,Employed,F,95647,Suburban,Single,106,11,30,0,1,Personal Auto,Personal L2,Offer1,Agent,508.8,Two-Door Car,Medsize
3075,BC87551,California,32306.28587,No,Basic,High School or Below,1/28/11,Employed,F,36301,Suburban,Single,118,11,85,0,2,Corporate Auto,Corporate L3,Offer1,Branch,647.954067,SUV,Medsize
8711,YW95322,California,3508.905811,No,Extended,Bachelor,1/23/11,Employed,M,23629,Suburban,Married,88,15,81,0,1,Personal Auto,Personal L1,Offer3,Agent,633.6,Four-Door Car,Small
3423,DV22542,California,2722.408776,No,Basic,High School or Below,1/27/11,Employed,M,58620,Urban,Divorced,68,8,60,0,1,Personal Auto,Personal L3,Offer2,Branch,292.135884,Two-Door Car,Large
7754,RJ68578,Oregon,8110.704417,No,Basic,High School or Below,2/14/11,Employed,M,76879,Suburban,Married,101,20,44,0,5,Corporate Auto,Corporate L3,Offer2,Web,487.102627,Sports Car,Large
7122,LT77960,Arizona,5316.7566,No,Basic,College,1/21/11,Employed,F,28559,Suburban,Married,66,5,1,0,5,Corporate Auto,Corporate L3,Offer4,Call Center,427.242973,Four-Door Car,Medsize
4624,VK69632,California,2912.913958,No,Basic,Bachelor,5/2/2011,Employed,F,68899,Rural,Single,74,6,60,0,1,Personal Auto,Personal L3,Offer2,Branch,66.103422,Two-Door Car,Medsize
838,RV67546,California,3712.430479,No,Extended,Bachelor,11/2/2011,Employed,M,73205,Rural,Married,92,9,18,0,1,Personal Auto,Personal L2,Offer3,Branch,37.299865,Four-Door Car,Medsize
8753,SE21603,California,2469.088506,No,Basic,Bachelor,1/23/11,Unemployed,M,0,Suburban,Single,71,10,20,0,1,Corporate Auto,Corporate L3,Offer1,Branch,484.87847,Four-Door Car,Medsize
6008,PL54420,Arizona,33473.34946,Yes,Basic,Bachelor,11/1/2011,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Personal Auto,Personal L3,Offer1,Web,508.8,SUV,Medsize
4317,RE52529,California,14024.35839,Yes,Premium,High School or Below,2/19/11,Employed,F,81872,Rural,Married,115,10,55,0,2,Corporate Auto,Corporate L1,Offer2,Web,256.43803,Four-Door Car,Medsize
2908,EN65835,Arizona,58753.88046,No,Premium,Bachelor,6/1/2011,Employed,F,24964,Suburban,Married,185,0,84,0,2,Personal Auto,Personal L2,Offer2,Agent,888.0,SUV,Medsize
1832,DB28979,California,7478.313695,No,Basic,Bachelor,1/26/11,Employed,M,23530,Suburban,Divorced,65,22,34,0,2,Corporate Auto,Corporate L3,Offer3,Agent,312.0,Two-Door Car,Medsize
6632,GV21882,Nevada,28328.46548,No,Basic,High School or Below,1/19/11,Medical Leave,F,20799,Urban,Single,111,20,28,0,2,Personal Auto,Personal L3,Offer3,Call Center,388.995233,Sports Car,Medsize
5696,QW81912,California,8006.219948,No,Extended,High School or Below,1/1/2011,Employed,F,63762,Rural,Married,99,13,55,0,4,Personal Auto,Personal L1,Offer2,Branch,108.161276,Four-Door Car,Medsize
352,QH19450,California,2558.178159,No,Basic,High School or Below,7/1/2011,Unemployed,F,0,Suburban,Single,72,7,77,0,1,Corporate Auto,Corporate L3,Offer1,Call Center,345.6,Four-Door Car,Small
2442,IO25161,Arizona,2280.386988,No,Basic,College,2/19/11,Unemployed,F,0,Urban,Married,61,16,29,0,1,Personal Auto,Personal L2,Offer2,Agent,283.881697,Four-Door Car,Medsize
602,TL77607,California,8852.688689,No,Basic,Bachelor,5/2/2011,Employed,M,67969,Urban,Married,74,11,14,0,2,Personal Auto,Personal L3,Offer3,Branch,197.776009,Four-Door Car,Medsize
5634,PH91033,Oregon,15808.75757,No,Extended,College,1/25/11,Employed,M,86347,Urban,Married,130,17,93,0,2,Personal Auto,Personal L2,Offer1,Web,593.779554,Sports Car,Medsize
7721,KE45653,California,4731.844073,No,Basic,Bachelor,1/17/11,Unemployed,F,0,Suburban,Single,64,14,92,0,7,Personal Auto,Personal L1,Offer3,Web,307.2,Four-Door Car,Medsize
3622,KF46546,Arizona,5789.352696,No,Basic,Bachelor,12/2/2011,Employed,F,75845,Rural,Married,72,2,71,0,6,Personal Auto,Personal L2,Offer1,Agent,73.848672,Four-Door Car,Medsize
5645,KW31376,Oregon,13883.32934,No,Basic,High School or Below,2/18/11,Unemployed,F,0,Suburban,Single,197,3,85,0,9,Corporate Auto,Corporate L3,Offer2,Agent,1418.4,Luxury Car,Large
8698,YC63458,California,5893.368906,No,Basic,Bachelor,1/22/11,Employed,F,86498,Rural,Married,74,13,13,1,5,Personal Auto,Personal L2,Offer3,Agent,8.529778,Two-Door Car,Medsize
6957,CS30775,California,4191.06163,No,Basic,High School or Below,1/1/2011,Unemployed,M,0,Suburban,Single,64,3,53,1,7,Personal Auto,Personal L3,Offer4,Web,535.953661,Two-Door Car,Small
5059,DF74270,Nevada,38230.21008,No,Basic,Bachelor,1/16/11,Employed,M,80321,Rural,Married,105,25,1,0,2,Corporate Auto,Corporate L1,Offer4,Agent,166.972451,SUV,Medsize
6175,MS41043,Arizona,7469.145695,No,Basic,College,1/14/11,Unemployed,F,0,Suburban,Married,199,10,17,0,1,Personal Auto,Personal L3,Offer2,Call Center,1956.368115,Luxury SUV,Medsize
6904,TD86744,Arizona,34611.37896,Yes,Basic,High School or Below,1/14/11,Employed,F,20090,Suburban,Married,109,10,59,0,2,Personal Auto,Personal L3,Offer2,Agent,523.2,Sports Car,Medsize
8849,QE52050,California,5678.050167,Yes,Extended,Bachelor,1/19/11,Unemployed,F,0,Suburban,Married,76,8,44,0,3,Corporate Auto,Corporate L3,Offer2,Agent,364.8,Four-Door Car,Small
5051,NS14955,Oregon,11726.18921,No,Extended,Master,2/26/11,Employed,F,40564,Rural,Married,97,0,36,0,2,Personal Auto,Personal L2,Offer4,Call Center,85.968142,Four-Door Car,Small
1704,WN14473,Arizona,2882.350556,No,Basic,Master,2/17/11,Employed,M,87798,Urban,Married,71,18,73,0,1,Personal Auto,Personal L3,Offer2,Call Center,204.448708,Two-Door Car,Medsize
5011,VU33725,Oregon,3677.907634,No,Extended,High School or Below,10/1/2011,Employed,M,31349,Suburban,Married,93,10,32,0,1,Corporate Auto,Corporate L2,Offer4,Branch,446.4,Four-Door Car,Medsize
5623,CI47242,Washington,9029.940704,No,Extended,Bachelor,10/2/2011,Unemployed,M,0,Suburban,Single,138,23,93,0,3,Personal Auto,Personal L1,Offer1,Agent,1376.958592,SUV,Small
199,MW70227,California,6047.02516,Yes,Extended,College,2/19/11,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Personal L1,Offer1,Branch,364.8,Four-Door Car,Medsize
8887,SG59507,California,2775.671887,No,Basic,College,11/2/2011,Employed,F,38222,Rural,Divorced,71,6,8,0,1,Personal Auto,Personal L2,Offer2,Call Center,166.78838,Four-Door Car,Medsize
5074,ZD75163,Nevada,9295.41115,No,Premium,High School or Below,2/14/11,Unemployed,M,0,Suburban,Single,261,33,44,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,2759.794354,Luxury Car,Medsize
1029,DS45802,California,5414.61734,No,Basic,High School or Below,2/19/11,Employed,F,26893,Rural,Married,68,1,31,0,5,Personal Auto,Personal L3,Offer4,Agent,68.226001,Four-Door Car,Medsize
3608,NQ18750,Oregon,29577.28414,No,Premium,College,2/16/11,Unemployed,M,0,Suburban,Single,106,34,13,0,2,Personal Auto,Personal L1,Offer2,Call Center,763.2,Two-Door Car,Small
8790,QW98193,California,3924.416277,No,Basic,College,1/27/11,Employed,M,56480,Suburban,Single,101,32,65,0,1,Corporate Auto,Corporate L2,Offer3,Branch,617.650751,SUV,Medsize
4852,TH69908,Washington,4865.371797,No,Extended,College,1/25/11,Employed,F,27228,Rural,Married,129,19,61,4,1,Personal Auto,Personal L3,Offer4,Branch,238.262773,Sports Car,Medsize
2508,WC83942,Oregon,20885.55547,No,Extended,Bachelor,1/23/11,Medical Leave,M,16113,Suburban,Married,81,27,19,0,2,Corporate Auto,Corporate L2,Offer2,Web,494.890996,Four-Door Car,Small
4955,ME47990,California,3109.007806,No,Extended,High School or Below,1/31/11,Employed,M,77485,Urban,Married,77,0,87,0,1,Corporate Auto,Corporate L2,Offer2,Branch,355.909266,Four-Door Car,Medsize
6828,IV13886,California,7292.397562,No,Basic,High School or Below,9/2/2011,Unemployed,M,0,Suburban,Married,68,6,50,0,2,Personal Auto,Personal L3,Offer1,Branch,415.986454,Two-Door Car,Medsize
5326,NJ46471,Oregon,8696.7107,No,Basic,Bachelor,4/1/2011,Employed,F,56550,Rural,Married,73,22,41,3,2,Corporate Auto,Corporate L1,Offer3,Agent,162.775889,Four-Door Car,Medsize
2140,EN77569,Oregon,3808.122147,Yes,Extended,College,1/28/11,Employed,F,94903,Suburban,Married,94,3,38,0,1,Special Auto,Special L3,Offer2,Agent,451.2,Two-Door Car,Small
8777,NP40205,California,7901.427389,No,Extended,Bachelor,3/2/2011,Employed,M,99711,Rural,Married,98,24,24,0,7,Corporate Auto,Corporate L3,Offer2,Branch,11.549207,Four-Door Car,Small
8192,NX37589,Washington,2666.976685,No,Basic,Bachelor,8/2/2011,Employed,F,79251,Suburban,Married,67,10,32,1,1,Personal Auto,Personal L3,Offer2,Web,321.6,Four-Door Car,Medsize
5490,XN90444,California,8200.269735,No,Basic,Doctor,1/22/11,Employed,M,24814,Suburban,Single,69,31,48,0,2,Special Auto,Special L1,Offer2,Call Center,331.2,Two-Door Car,Medsize
7540,RJ57593,Arizona,8044.872393,Yes,Basic,Bachelor,2/19/11,Employed,M,71391,Urban,Married,67,29,39,0,2,Personal Auto,Personal L3,Offer2,Agent,284.000172,Four-Door Car,Medsize
3427,BJ26599,Oregon,4200.818894,No,Basic,Bachelor,2/1/2011,Retired,M,20263,Suburban,Single,63,31,2,0,7,Personal Auto,Personal L3,Offer1,Agent,373.454457,Four-Door Car,Small
4606,IN56924,California,5409.955926,No,Basic,High School or Below,2/26/11,Unemployed,F,0,Suburban,Single,62,1,9,5,2,Personal Auto,Personal L3,Offer2,Agent,297.6,Four-Door Car,Medsize
4007,YE70791,California,5169.49937,Yes,Basic,High School or Below,2/26/11,Medical Leave,M,12430,Suburban,Single,73,22,13,0,4,Personal Auto,Personal L2,Offer2,Call Center,350.4,Four-Door Car,Medsize
5369,AF47139,Oregon,8406.385414,No,Basic,College,3/2/2011,Employed,F,42540,Rural,Married,70,15,52,0,2,Personal Auto,Personal L1,Offer1,Agent,43.548973,Four-Door Car,Medsize
1054,VO38365,Washington,8861.149536,No,Basic,College,5/2/2011,Employed,F,90125,Rural,Married,110,1,72,0,3,Corporate Auto,Corporate L3,Offer3,Branch,128.645946,SUV,Medsize
596,ON77649,Oregon,2908.875917,No,Basic,College,1/29/11,Employed,F,35895,Urban,Married,73,11,51,0,1,Personal Auto,Personal L3,Offer2,Agent,312.921256,Four-Door Car,Medsize
1124,MD86050,Oregon,4721.659016,No,Basic,High School or Below,2/28/11,Unemployed,M,0,Suburban,Single,67,20,38,0,8,Personal Auto,Personal L3,Offer4,Branch,482.4,Four-Door Car,Medsize
6545,RR64429,California,6778.84457,No,Extended,High School or Below,2/25/11,Unemployed,M,0,Suburban,Single,96,2,84,0,9,Personal Auto,Personal L3,Offer2,Agent,460.8,Four-Door Car,Small
1455,YP40334,Oregon,5308.246978,No,Premium,Doctor,1/17/11,Unemployed,F,0,Rural,Single,145,29,70,0,1,Personal Auto,Personal L2,Offer2,Web,358.765757,SUV,Medsize
3265,AS17174,Oregon,2471.528431,Yes,Basic,High School or Below,1/15/11,Employed,M,95697,Rural,Married,61,16,55,0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize
7701,TK49887,California,2897.779107,No,Extended,College,12/2/2011,Unemployed,F,0,Suburban,Single,85,4,45,0,1,Personal Auto,Personal L3,Offer2,Branch,612.0,Two-Door Car,Medsize
3635,LY19199,Oregon,4815.532839,No,Basic,Bachelor,1/26/11,Employed,M,80355,Rural,Divorced,62,26,33,1,3,Corporate Auto,Corporate L3,Offer1,Branch,83.390706,Two-Door Car,Medsize
8019,PV99529,Arizona,2724.430809,No,Extended,Bachelor,7/1/2011,Unemployed,M,0,Suburban,Divorced,77,15,31,0,1,Personal Auto,Personal L1,Offer1,Branch,404.82483,Two-Door Car,Medsize
7349,EV34073,California,4460.418492,No,Basic,College,1/15/11,Unemployed,F,0,Suburban,Divorced,65,24,45,1,4,Corporate Auto,Corporate L3,Offer3,Branch,312.0,Four-Door Car,Small
